Time,Latitude,Longitude,Magnitude
1676251261000,38.2737,38.2812,3.1
1676251141000,38.4263,40.3313,2.1
1676250765000,37.9443,36.4323,3.7
1676250669000,38.1017,36.5600,2.0
1676250654000,39.1658,39.0245,1.6
1676250318000,37.9572,36.2767,2.3
1676250206000,37.9825,37.3662,1.8
1676249667000,36.9553,36.1742,2.7
1676249213000,36.6233,36.2880,2.1
1676249019000,37.9328,36.5935,2.2
1676248597000,37.9050,36.5797,2.0
1676248330000,38.1888,38.1010,2.6
1676248168000,38.1018,36.8975,2.4
1676248017000,36.7563,36.4005,2.7
1676247964000,38.1708,36.6740,2.4
1676247651000,38.1355,36.8203,2.6
1676247085000,38.0847,36.5342,3.1
1676246868000,36.0600,35.8765,2.8
1676246714000,37.8713,36.3562,2.7
1676246162000,38.1468,37.5242,3.1
1676245990000,37.9593,36.3062,2.2
1676245867000,38.0617,36.3993,2.4
1676245616000,38.3970,37.2863,2.7
1676245576000,38.5488,37.1038,2.9
1676245526000,38.0083,37.6830,3.2
1676245247000,41.9243,42.0980,2.6
1676245025000,41.8192,42.1822,2.9
1676244832000,38.1825,36.7503,1.8
1676244572000,39.1418,41.0510,2.1
1676244176000,37.8975,37.8253,2.6
1676244103000,39.1828,40.4782,2.9
1676243923000,37.6743,35.4372,2.0
1676243797000,37.6040,37.5205,2.9
1676243715000,38.1662,36.4615,1.9
1676243529000,37.2965,37.1157,2.4
1676243086000,36.1470,27.2622,2.6
1676242953000,38.1252,36.6500,1.9
1676242587000,37.1558,36.6780,2.5
1676242378000,38.0392,36.6095,4.8
1676242171000,37.3575,37.1108,2.2
1676242098000,37.1730,36.8902,2.1
1676241892000,36.3038,35.9337,1.8
1676241770000,40.8360,31.7258,1.6
1676241750000,37.7663,36.7143,1.9
1676241661000,38.0555,37.2328,2.6
1676241502000,38.1132,36.6485,2.3
1676241138000,37.3323,37.1347,3.1
1676241002000,38.0743,36.5858,2.3
1676240842000,38.1172,37.2322,2.5
1676240722000,37.1217,36.9405,2.2
1676240511000,38.1058,36.9858,2.4
1676240214000,37.3498,36.9945,2.5
1676239986000,38.7053,35.3213,1.7
1676239882000,38.4298,37.4875,1.6
1676239679000,38.1777,37.9223,3.2
1676239325000,35.9637,35.8733,3.9
1676239140000,38.0067,37.3280,3.7
1676238866000,38.0593,36.5582,2.1
1676238437000,36.8630,27.9438,2.1
1676238317000,37.4982,37.3432,1.8
1676238247000,37.5037,37.2292,2.3
1676237997000,37.9530,38.1748,2.5
1676237892000,38.3988,36.8818,3.2
1676237647000,37.1127,36.6848,2.9
1676237551000,38.0387,36.4680,3.4
1676237397000,38.0978,36.5868,3.2
1676237223000,38.1742,38.5963,2.3
1676236898000,36.8607,36.5445,3.9
1676236336000,38.5783,37.5175,2.9
1676236032000,38.0377,36.5112,2.3
1676235955000,40.8313,31.0543,1.9
1676235865000,37.9488,36.5843,2.8
1676235810000,36.9043,36.5393,3.5
1676235659000,38.1318,37.8297,3.2
1676235363000,37.9645,37.6388,2.0
1676234872000,38.4782,26.1928,1.6
1676234850000,38.0828,36.7195,1.9
1676234836000,37.9262,27.5802,1.7
1676234493000,38.0823,37.2625,2.6
1676234170000,37.3787,37.0957,1.7
1676234040000,37.9680,36.7093,2.5
1676233609000,38.0308,36.7798,3.3
1676233425000,37.8798,27.6057,2.2
1676233377000,38.0023,37.4497,3.4
1676233101000,37.8642,36.7938,2.1
1676232946000,38.0785,36.5848,2.0
1676232696000,37.9905,38.3888,3.5
1676232446000,36.6973,36.4137,2.4
1676232383000,37.8793,36.3287,2.6
1676232222000,38.0498,36.5942,2.8
1676232154000,37.3215,37.0457,2.4
1676232031000,37.4180,36.7608,2.2
